name,description,coordinates
CELDA ZARAGOZA (CZARGTZR),"CELDA ZARAGOZA(CZARGTZR)
id celda:2314
isla: CHIMALTENANGO","[(14.644722222222, -90.893055555556)]"
TECPAN GUATEMALA (CTGUGTTG),"TECPAN GUATEMALA(CTGUGTTG)
id celda:2319
isla: CHIMALTENANGO","[(14.7605, -90.992)]"
CELDA CHIMALTENANGO I (CHMLGTC1),"CELDA CHIMALTENANGO I(CHMLGTC1)
id celda:2355
isla: CHIMALTENANGO","[(14.6527, -90.8226)]"
SAN ANTONIO SUCHITEPEQUEZ (MSANGTSA),"SAN ANTONIO SUCHITEPEQUEZ(MSANGTSA)
id celda:2221
isla: MAZATENANGO","[(14.540180555556, -91.416702777778)]"
CELDA VILLAS DE ZAPOTITLAN (MZTNGTVZ),"CELDA VILLAS DE ZAPOTITLAN(MZTNGTVZ)
id celda:
isla: MAZATENANGO","[(14.55575, -91.50969444444401)]"
CUYOTENANGO (MCUYGTCU),"CUYOTENANGO(MCUYGTCU)
id celda:2228
isla: MAZATENANGO","[(14.538333333333, -91.57194444444399)]"
CELDA LAS VARITAS SUCHITEPEQUEZ (MSANGTVS),"CELDA LAS VARITAS SUCHITEPEQUEZ(MSANGTVS)
id celda:2895
isla: MAZATENANGO","[(14.515761111111, -91.47728888888902)]"
COLONIA VILLA LINDA MAZATENANGO (MZTNGTCV),"COLONIA VILLA LINDA MAZATENANGO(MZTNGTCV)
id celda:
isla: MAZATENANGO","[(14.543055555556, -91.505833333333)]"
COLONIA JARDINES (MZTNGTCJ),"COLONIA JARDINES(MZTNGTCJ)
id celda:
isla: MAZATENANGO","[(14.534722222222, -91.48472222222199)]"
COLONIA FLOR DEL CAFE (MZTNGTCF),"COLONIA FLOR DEL CAFE(MZTNGTCF)
id celda:
isla: MAZATENANGO","[(14.530555555556, -91.51749999999998)]"
CALZADA CENTENARIO ACEITUNO (MZTNGTCC),"CALZADA CENTENARIO ACEITUNO(MZTNGTCC)
id celda:
isla: MAZATENANGO","[(14.533611111111, -91.516666666667)]"
CELDA SANTO DOMINGO SUCHITEPEQUEZ (MSDSGTSD),"CELDA SANTO DOMINGO SUCHITEPEQUEZ(MSDSGTSD)
id celda:2271
isla: MAZATENANGO","[(14.4796, -91.48660277777799)]"
CELDA MAZATENANGO III - IGSS (MZTNGTMA),"CELDA MAZATENANGO III - IGSS(MZTNGTMA)
id celda:2227
isla: MAZATENANGO","[(14.535555555556, -91.517027777778)]"
CELDA MERCADO MAZATENANGO (MZTNGTMM),"CELDA MERCADO MAZATENANGO(MZTNGTMM)
id celda:2116
isla: MAZATENANGO","[(14.532569444444, -91.506461111111)]"
CELDA SAN GABRIEL - SAN LORENZO (MSLOGTSG),"CELDA SAN GABRIEL - SAN LORENZO(MSLOGTSG)
id celda:2262
isla: MAZATENANGO","[(14.4965, -91.50749999999998)]"
SAN BERNARDINO (MSBEGTSE),"SAN BERNARDINO(MSBEGTSE)
id celda:2219
isla: MAZATENANGO","[(14.5464, -91.463097222222)]"
MAZATENANGO NODO T1_217 (MZTNGTMN),"MAZATENANGO NODO T1_217(MZTNGTMN)
id celda:4077
isla: MAZATENANGO","[(14.541469444444, -91.501669444444)]"
CELDA PALESTINA DE LOS ALTOS (QPAAGTPT),"CELDA PALESTINA DE LOS ALTOS(QPAAGTPT)
id celda:
isla: SAN MARCOS","[(14.9359, -91.69370277777799)]"
CELDA SAN ISIDRO CHAMAC (NSPSGTSS),"CELDA SAN ISIDRO CHAMAC(NSPSGTSS)
id celda:3644
isla: SAN MARCOS","[(14.968972222222, -91.763055555556)]"
CELDA SERCHIL PUEBLO (NSMAGTSP),"CELDA SERCHIL PUEBLO(NSMAGTSP)
id celda:3225
isla: SAN MARCOS","[(15.065527777778, -91.833111111111)]"
CERRO COTZIJ (NSJOGTCO),"CERRO COTZIJ(NSJOGTCO)
id celda:2457
isla: SAN MARCOS","[(15.186702777778, -91.94868888888898)]"
CATEDRAL SAN MARCOS (NSMAGTCN),"CATEDRAL SAN MARCOS(NSMAGTCN)
id celda:
isla: SAN MARCOS","[(14.961944444444, -91.795555555556)]"
SAN RAFAEL PIE DE LA CUESTA (NSRPGTSR),"SAN RAFAEL PIE DE LA CUESTA(NSRPGTSR)
id celda:2380
isla: SAN MARCOS","[(14.930555555556, -91.914444444444)]"
INSTITUTO ADOLFO V. HALL (NSMAGTIA),"INSTITUTO ADOLFO V. HALL(NSMAGTIA)
id celda:
isla: SAN MARCOS","[(14.938333333333, -91.79000000000002)]"
CELDA SAN PEDRO SAN MARCOS (NSPSGTSE),"CELDA SAN PEDRO SAN MARCOS(NSPSGTSE)
id celda:
isla: SAN MARCOS","[(14.9662, -91.78399999999999)]"
CELDA SAN PEDRO SACATEPEQUEZ SAN MARCOS (NSPSGTSP),"CELDA SAN PEDRO SACATEPEQUEZ SAN MARCOS(NSPSGTSP)
id celda:2359
isla: SAN MARCOS","[(14.97075, -91.776666666667)]"
CELDA ESQUIPULAS PALO GORDO (NEPGGTEP),"CELDA ESQUIPULAS PALO GORDO(NEPGGTEP)
id celda:
isla: SAN MARCOS","[(14.938, -91.83470277777799)]"
CELDA CHIANTLA (HCHIGTCI),"CELDA CHIANTLA(HCHIGTCI)
id celda:2425
isla: HUEHUETENANGO","[(15.3559, -91.45779999999999)]"
AGUACATAN (HAGUGTAG),"AGUACATAN(HAGUGTAG)
id celda:2426
isla: HUEHUETENANGO","[(15.34125, -91.31636111111101)]"
MALACATANCITO (HMALGTMA),"MALACATANCITO(HMALGTMA)
id celda:2414
isla: HUEHUETENANGO","[(15.244583333333, -91.494444444444)]"
CHIANTLA (HCHIGTCH),"CHIANTLA(HCHIGTCH)
id celda:9406
isla: HUEHUETENANGO","[(15.355027777778, -91.45938333333301)]"
COLONIA SAN SEBASTIAN (HUEHGTCS),"COLONIA SAN SEBASTIAN(HUEHGTCS)
id celda:
isla: HUEHUETENANGO","[(15.321666666667, -91.47444444444402)]"
ZACULEU (HUEHGTZA),"ZACULEU(HUEHGTZA)
id celda:9461
isla: HUEHUETENANGO","[(15.326819444444, -91.514530555556)]"
CELDA SANTA ANA HUISTA (HAHUGTSN),"CELDA SANTA ANA HUISTA(HAHUGTSN)
id celda:
isla: HUEHUETENANGO","[(15.682311111111, -91.820430555556)]"
COLOTENANGO (HCOLGTCO),"COLOTENANGO(HCOLGTCO)
id celda:2421
isla: HUEHUETENANGO","[(15.3993, -91.715)]"
CELDA CERRO LLANO GRANDE (HMALGTLG),"CELDA CERRO LLANO GRANDE(HMALGTLG)
id celda:
isla: HUEHUETENANGO","[(15.29175, -91.438083333333)]"
SAN ANTONIO HUISTA (HSAHGTSA),"SAN ANTONIO HUISTA(HSAHGTSA)
id celda:2449
isla: HUEHUETENANGO","[(15.651111111111, -91.770833333333)]"
CELDA SAN MARTIN CUCHUMATAN (HTSCGTSM),"CELDA SAN MARTIN CUCHUMATAN(HTSCGTSM)
id celda:2485
isla: HUEHUETENANGO","[(15.577222222222, -91.670138888889)]"
CELDA SAN RAFAEL PETZAL (HSRPGTRP),"CELDA SAN RAFAEL PETZAL(HSRPGTRP)
id celda:
isla: HUEHUETENANGO","[(15.4056, -91.6657)]"
CAMBOTE (HUEHGTCA),"CAMBOTE(HUEHGTCA)
id celda:2423
isla: HUEHUETENANGO","[(15.3078, -91.4944)]"
CELDA CAMBOTE COUBICADO (HMALGTCC),"CELDA CAMBOTE COUBICADO(HMALGTCC)
id celda:2864
isla: HUEHUETENANGO","[(15.313069444444, -91.498761111111)]"
SAN PEDRO CARCHA (VSPCGTSP),"SAN PEDRO CARCHA(VSPCGTSP)
id celda:
isla: COBAN","[(15.4789, -90.315597222222)]"
CELDA CHICUXAB (VCOBGTCH),"CELDA CHICUXAB(VCOBGTCH)
id celda:1541
isla: COBAN","[(15.426944444444, -90.40975)]"
CELDA COBAN IV (SALIDA A SAN PEDRO CARCHA) (VCOBGTC4),"CELDA COBAN IV (SALIDA A SAN PEDRO CARCHA)(VCOBGTC4)
id celda:5330
isla: COBAN","[(15.471222222222, -90.363)]"
ESCUELA JOSEFINA JACINTO (VCOBGTEO),"ESCUELA JOSEFINA JACINTO(VCOBGTEO)
id celda:9567CX
isla: COBAN","[(15.470713888889, -90.381397222222)]"
MSAN JAZMINES II (VCOBGTMJ),"MSAN JAZMINES II(VCOBGTMJ)
id celda:
isla: COBAN","[(15.471458333333, -90.39726944444399)]"
CHISEC (VCHIGTCH),"CHISEC(VCHIGTCH)
id celda:1452
isla: COBAN","[(15.809722222222, -90.291944444444)]"
CELDA COBAN POSTE E (VCOBGTPE),"CELDA COBAN POSTE E(VCOBGTPE)
id celda:5380
isla: COBAN","[(15.469097222222, -90.36889722222202)]"
SAN JUAN CHAMELCO (VSJCGTSJ),"SAN JUAN CHAMELCO(VSJCGTSJ)
id celda:
isla: COBAN","[(15.428361111111, -90.331055555556)]"
SAYAXCHE (PSAYGTSA),"SAYAXCHE(PSAYGTSA)
id celda:1436
isla: SAYAXCHE","[(16.5237, -90.1857)]"
CELDA COBAN POSTE F (VCOBGTPF),"CELDA COBAN POSTE F(VCOBGTPF)
id celda:5390
isla: COBAN","[(15.459797222222, -90.367597222222)]"
COBAN ORIENTE_XT (VCOBGTCR),"COBAN ORIENTE_XT(VCOBGTCR)
id celda:4200
isla: COBAN","[(15.466509, -90.36876600000001)]"
SANTA LUCIA UTATLAN (SSLUGTLU),"SANTA LUCIA UTATLAN(SSLUGTLU)
id celda:2394
isla: SOLOLA","[(14.778866666667, -91.269016666667)]"
CERRO LINDA VISTA (SSJCGTCO),"CERRO LINDA VISTA(SSJCGTCO)
id celda:2320
isla: SOLOLA","[(14.757777777778, -91.210833333333)]"
PANAJACHEL (SPANGTPA),"PANAJACHEL(SPANGTPA)
id celda:2318
isla: SOLOLA","[(14.7417, -91.1578)]"
CELDA LOS ENCUENTROS (SLLAGTEN),"CELDA LOS ENCUENTROS(SLLAGTEN)
id celda:2325
isla: SOLOLA","[(14.857861111111, -91.15175)]"
CELDA CONCEPCION SOLOLA (SCONGTCO),"CELDA CONCEPCION SOLOLA(SCONGTCO)
id celda:4516
isla: SOLOLA","[(14.7762, -91.1437)]"
CELDA LOS ENCUENTROS PETEN (PFLOGTEP),"CELDA LOS ENCUENTROS PETEN(PFLOGTEP)
id celda:
isla: SANTA ELENA PETEN","[(16.95075, -89.485916666667)]"
CELDA CRUCE A TIKAL (PFLOGTCT),"CELDA CRUCE A TIKAL(PFLOGTCT)
id celda:1478
isla: SANTA ELENA PETEN","[(16.898583333333, -89.813638888889)]"
CERRO PURUCILA (PANAGTPU),"CERRO PURUCILA(PANAGTPU)
id celda:3152
isla: SANTA ELENA PETEN","[(16.8625, -89.854722222222)]"
LA LIBERTAD PETEN (PLIBGTLI),"LA LIBERTAD PETEN(PLIBGTLI)
id celda:
isla: SANTA ELENA PETEN","[(16.783783333333, -90.114861111111)]"
SANTA ANA (PANAGTSA),"SANTA ANA(PANAGTSA)
id celda:1321
isla: SANTA ELENA PETEN","[(16.805805555556, -89.825055555556)]"
ALMOLONGA (QALMGTAL),"ALMOLONGA(QALMGTAL)
id celda:
isla: LA FLORESTA","[(14.815388888889, -91.497083333333)]"
SALCAJA (QSALGTSA),"SALCAJA(QSALGTSA)
id celda:GTMSAN007
isla: LA FLORESTA","[(14.878166666667, -91.45666666666699)]"
OLINTEPEQUE (QOLIGTOL),"OLINTEPEQUE(QOLIGTOL)
id celda:2379
isla: LA FLORESTA","[(14.877716666667, -91.51365)]"
CANTEL (QCANGTCA),"CANTEL(QCANGTCA)
id celda:
isla: LA FLORESTA","[(14.8132, -91.4552)]"
CELDA CERRO RAXQUIN (QCANGTRX),"CELDA CERRO RAXQUIN(QCANGTRX)
id celda:2311
isla: LA FLORESTA","[(14.821944444444, -91.40611111111102)]"
HOSPITAL DE QUETZALTENANGO (QTZLGTHQ),"HOSPITAL DE QUETZALTENANGO(QTZLGTHQ)
id celda:9483
isla: LA FLORESTA","[(14.855613888889, -91.536655555556)]"
COLONIA EL MAESTRO QUETZALTENANGO (QTZLGTOM),"COLONIA EL MAESTRO QUETZALTENANGO(QTZLGTOM)
id celda:9439
isla: LA FLORESTA","[(14.85885, -91.546488888889)]"
CELDA QUETZALTENANGO III (CARRETERA LOS ALTOS) (QTZLGTQ3),"CELDA QUETZALTENANGO III (CARRETERA LOS ALTOS)(QTZLGTQ3)
id celda:2352
isla: LA FLORESTA","[(14.856527777778, -91.507444444444)]"
CONDOMINIO EL TRIANGULO (QTZLGTOT),"CONDOMINIO EL TRIANGULO(QTZLGTOT)
id celda:9476
isla: LA FLORESTA","[(14.851513888889, -91.523227777778)]"
COLONIA LOS CEREZOS (QTZLGTCS),"COLONIA LOS CEREZOS(QTZLGTCS)
id celda:9473
isla: LA FLORESTA","[(14.847325, -91.541325)]"
MONTE BELLO (GNCYGTMB),"MONTE BELLO(GNCYGTMB)
id celda:9034
isla: VISTA HERMOSA","[(14.5717, -90.47599722222202)]"
GBM (MPE_2_GB),"GBM(MPE_2_GB)
id celda:
isla:","[(14.582469444444, -90.494636111111)]"
CELDA COLONIA LA PRIMAVERA AMATITLAN (GAMAGTCP),"CELDA COLONIA LA PRIMAVERA AMATITLAN(GAMAGTCP)
id celda:
isla: AMATITLAN","[(14.472666666667, -90.633361111111)]"
CELDA AMATITLAN II (GAMAGTA2),"CELDA AMATITLAN II(GAMAGTA2)
id celda:2289
isla: AMATITLAN","[(14.472333333333, -90.64410000000001)]"
AMATITLAN CENTRO_XT_SBA (GAMAGTAX),"AMATITLAN CENTRO_XT_SBA(GAMAGTAX)
id celda:5164
isla: AMATITLAN","[(14.479573, -90.629057)]"
CELDA PUENTE LA GLORIA AMATITLAN COUBICADO (GAMAGTPG),"CELDA PUENTE LA GLORIA AMATITLAN COUBICADO(GAMAGTPG)
id celda:3251
isla: AMATITLAN","[(14.481580555556, -90.611805555556)]"
LA MONTAÑA (GNCYGTMO),"LA MONTAÑA(GNCYGTMO)
id celda:1017
Isla: LA MONTAÑA","[(14.592469444444, -90.47740000000002)]"
CELDA VISTA HERMOSA IV (GNCYGTV4),"CELDA VISTA HERMOSA IV(GNCYGTV4)
id celda:
isla: SAN ISIDRO","[(14.6025, -90.46279999999999)]"
MIRAFLORES (GNCYGTMR),"MIRAFLORES(GNCYGTMR)
id celda:
isla: GUARDA VIEJO","[(14.620777777778, -90.54875)]"
CELDA QUETZALTENANGO VI (SHELTER HOSPITAL) (QTZLGTX6),"CELDA QUETZALTENANGO VI (SHELTER HOSPITAL)(QTZLGTX6)
id celda:
isla: LA FLORESTA","[(14.861961111111, -91.539038888889)]"
SAN JUAN OSTUNCALCO (QOSTGTSJ),"SAN JUAN OSTUNCALCO(QOSTGTSJ)
id celda:2358
isla: LA FLORESTA","[(14.86895, -91.619838888889)]"
ESCUELA PARA EL HOGAR (QTZLGTEA),"ESCUELA PARA EL HOGAR(QTZLGTEA)
id celda:9480
isla: LA FLORESTA","[(14.866044444444, -91.518625)]"
ROTONDA TECUN UMAN (QTZLGTRT),"ROTONDA TECUN UMAN(QTZLGTRT)
id celda:9492
isla: LA FLORESTA","[(14.859986111111, -91.52257500000002)]"
ESCUELA BENITO JUAREZ (QTZLGTEB),"ESCUELA BENITO JUAREZ(QTZLGTEB)
id celda:9478
isla: LA FLORESTA","[(14.839655555556, -91.503730555556)]"
CONDOMINIO MARTA ELIZA (QTZLGTOA),"CONDOMINIO MARTA ELIZA(QTZLGTOA)
id celda:
isla: LA FLORESTA","[(14.866813888889, -91.523605555556)]"
GASOLINERA SAN CARLOS (QTZLGTGS),"GASOLINERA SAN CARLOS(QTZLGTGS)
id celda:9482
isla: LA FLORESTA","[(14.836166666667, -91.511336111111)]"
PUENTE RIO SECO (QTZLGTPR),"PUENTE RIO SECO(QTZLGTPR)
id celda:9491
isla: LA FLORESTA","[(14.849030555556, -91.51196388888899)]"
TIKAL (GNCYGTTK),"TIKAL(GNCYGTTK)
id celda:
isla: GUARDA VIEJO","[(14.6289, -90.552697222222)]"
TORRE (TOR-CSC0),"TORRE(TOR-CSC0)
id celda:
isla: RCT","[(14.609444444444, -90.526111111111)]"
CELDA KAMINAL JUYU (GNCYGTKJ),"CELDA KAMINAL JUYU(GNCYGTKJ)
id celda:2133
isla: GUARDA VIEJO","[(14.625833333333, -90.546944444444)]"
SAN JORGE (GNCYGTSJ),"SAN JORGE(GNCYGTSJ)
id celda:2032
isla: GUARDA VIEJO","[(14.620847222222, -90.554972222222)]"
MSAN MADERO (GNCYGT09),"MSAN MADERO(GNCYGT09)
id celda:
isla: GUARDA VIEJO","[(14.597455555556, -90.539530555556)]"
CELDA LOS AMATES (IAMAGTLA),"CELDA LOS AMATES(IAMAGTLA)
id celda:1411
isla: LOS AMATES","[(15.1965, -89.137802777778)]"
CELDA DAKOTA (IAMAGTDA),"CELDA DAKOTA(IAMAGTDA)
id celda:3615
isla: LOS AMATES","[(15.299694444444, -89.032166666667)]"
QUIRIGUA (IAMAGTQU),"QUIRIGUA(IAMAGTQU)
id celda:9534
isla: LOS AMATES","[(15.27455, -89.074758333333)]"
CELDA LAS VEGUITAS (USJEGTVE),"CELDA LAS VEGUITAS(USJEGTVE)
id celda:1371
isla: CHIQUIMULA","[(14.7453, -89.4606)]"
ESQUIPULAS (UESQGTES),"ESQUIPULAS(UESQGTES)
id celda:1425
isla: CHIQUIMULA","[(14.563611111111, -89.350555555556)]"
CONCEPCION LAS MINAS (UCMIGTCM),"CONCEPCION LAS MINAS(UCMIGTCM)
id celda:
isla: CHIQUIMULA","[(14.520833333333, -89.457222222222)]"
CELDA CHIQUIMULA II (UCHIGTC2),"CELDA CHIQUIMULA II(UCHIGTC2)
id celda:1317
isla: CHIQUIMULA","[(14.7929, -89.5504)]"
LAS FLORES (UCHIGTFL),"LAS FLORES(UCHIGTFL)
id celda:
isla: CHIQUIMULA","[(14.791383333333, -89.553441666667)]"
BARRIO LA DEMOCRACIA (UCHIGTBD),"BARRIO LA DEMOCRACIA(UCHIGTBD)
id celda:
isla: CHIQUIMULA","[(14.799022222222, -89.551183333333)]"
CELDA CHIQUIMULA III (UCHIGTC3),"CELDA CHIQUIMULA III(UCHIGTC3)
id celda:1364
isla: CHIQUIMULA","[(14.806944444444, -89.533833333333)]"
SAN FELIPE (RSFEGTSF),"SAN FELIPE(RSFEGTSF)
id celda:2327
isla: RETALHULEU","[(14.624277777778, -91.596691666667)]"
CELDA CONCEPCION PITAL (RNSCGTCP),"CELDA CONCEPCION PITAL(RNSCGTCP)
id celda:4006
isla: RETALHULEU","[(14.566388888889, -91.706027777778)]"
SIBANA / EL XAB (RASIGTSX),"SIBANA / EL XAB(RASIGTSX)
id celda:
isla: RETALHULEU","[(14.5747, -91.775702777778)]"
SAN SEBASTIAN RETALHULEU (RSSEGTSE),"SAN SEBASTIAN RETALHULEU(RSSEGTSE)
id celda:2229
isla: RETALHULEU","[(14.5599, -91.64800277777802)]"
EL ASINTAL (RASIGTAS),"EL ASINTAL(RASIGTAS)
id celda:2239
isla: RETALHULEU","[(14.593055555556, -91.72611111111098)]"
CELDA ALDEA SAN LUIS (RSFEGTAS),"CELDA ALDEA SAN LUIS(RSFEGTAS)
id celda:3641
isla: RETALHULEU","[(14.597638888889, -91.636388888889)]"
CELDA XAB Y EL RECREO (RASIGTXL),"CELDA XAB Y EL RECREO(RASIGTXL)
id celda:2294
isla: RETALHULEU","[(14.564083333333, -91.729916666667)]"
VILLAS DEL MILAGRO (GMIXGTVI),"VILLAS DEL MILAGRO(GMIXGTVI)
id celda:
isla: EL MILAGRO","[(14.701875, -90.52925833333302)]"
CELDA SANTA ROSITA (GNCYGTSO),"CELDA SANTA ROSITA(GNCYGTSO)
id celda:1033
isla: ACATAN","[(14.6234, -90.480902777778)]"
CELDA VISTA HERMOSA SACATEPEQUEZ (GSPSGTVE),"CELDA VISTA HERMOSA SACATEPEQUEZ(GSPSGTVE)
id celda:2161
isla: EL CAMINERO","[(14.682277777778, -90.616611111111)]"
CELDA CAROLINGIA II (GMIXGTC2),"CELDA CAROLINGIA II(GMIXGTC2)
id celda:3502
isla: EL CAMINERO","[(14.671333333333, -90.58397222222202)]"
CELDA MIXCO NORTE (GMIXGTMN),"CELDA MIXCO NORTE(GMIXGTMN)
id celda:2042
isla: EL CAMINERO","[(14.654583333333, -90.601694444444)]"
VILLA CANALES (GVCAGTVC),"VILLA CANALES(GVCAGTVC)
id celda:2138
isla: EL FRUTAL","[(14.4792, -90.533302777778)]"
FUENTES DEL VALLE IV (CONDADO EL CARMEN) (GSMPGTFV),"FUENTES DEL VALLE IV (CONDADO EL CARMEN)(GSMPGTFV)
id celda:9079
isla: EL FRUTAL","[(14.505608333333, -90.572491666667)]"
CELDA PLANES DE VILLA NUEVA II (GVNUGTPI),"CELDA PLANES DE VILLA NUEVA II(GVNUGTPI)
id celda:3545
isla: EL FRUTAL","[(14.509833333333, -90.570166666667)]"
CELDA TICAMEX (GVNUGTTI),"CELDA TICAMEX(GVNUGTTI)
id celda:
isla: EL FRUTAL","[(14.504583333333, -90.580194444444)]"
CELDA PLANES DE VILLA NUEVA (GVNUGTPV),"CELDA PLANES DE VILLA NUEVA(GVNUGTPV)
id celda:
isla: EL FRUTAL","[(14.5167, -90.5717)]"
CELDA SAN MIGUEL PETAPA (GSMPGTSM),"CELDA SAN MIGUEL PETAPA(GSMPGTSM)
id celda:2104
isla: EL FRUTAL","[(14.5019, -90.5641)]"
CELDA GRANJAS GERONA COUBICADO (GSMPGTGR),"CELDA GRANJAS GERONA COUBICADO(GSMPGTGR)
id celda:4112
isla: EL FRUTAL","[(14.5081, -90.5523)]"
EL NARANJO (GMIXGTNA),"EL NARANJO(GMIXGTNA)
id celda:
isla: BOSQUES DE SAN NICOLAS","[(14.674416666667, -90.548694444444)]"
CELDA MIXCO ZONA 4 (GMIXGTZ4),"CELDA MIXCO ZONA 4(GMIXGTZ4)
id celda:3373
isla: BOSQUES DE SAN NICOLAS","[(14.661027777778, -90.5585)]"
ESTANZUELA (ZESTGTES),"ESTANZUELA(ZESTGTES)
id celda:
isla: ZACAPA","[(14.994, -89.5789)]"
CELDA ZACAPA II (ZCPAGTZ2),"CELDA ZACAPA II(ZCPAGTZ2)
id celda:1320
isla: ZACAPA","[(14.967780555556, -89.5373)]"
CELDA COLONIA SANTA MARIA ZACAPA (ZCPAGTCS),"CELDA COLONIA SANTA MARIA ZACAPA(ZCPAGTCS)
id celda:3770
isla: ZACAPA","[(14.964027777778, -89.531805555556)]"
CELDA LLANO DE PIEDRA (ZCPAGTLP),"CELDA LLANO DE PIEDRA(ZCPAGTLP)
id celda:3434
isla: ZACAPA","[(14.95375, -89.5555)]"
CELDA LA MAJADA ZACAPA (ZCPAGTLM),"CELDA LA MAJADA ZACAPA(ZCPAGTLM)
id celda:3440
isla: ZACAPA","[(14.984388888889, -89.533888888889)]"
MSAN SANTA ROSALIA (ZCPAGTMS),"MSAN SANTA ROSALIA(ZCPAGTMS)
id celda:
isla: ZACAPA","[(14.932711111111, -89.524269444444)]"
LA CALZADA (ZCPAGTCA),"LA CALZADA(ZCPAGTCA)
id celda:
isla: ZACAPA","[(14.971863888889, -89.537577777778)]"
BARRIO LA ESTACION (ZCPAGTBE),"BARRIO LA ESTACION(ZCPAGTBE)
id celda:
isla: ZACAPA","[(14.97055, -89.543141666667)]"
CABAÑAS (ZCABGTCA),"CABAÑAS(ZCABGTCA)
id celda:
isla: ZACAPA","[(14.933333333333, -89.7975)]"
SAN DIEGO (ZSDIGTSD),"SAN DIEGO(ZSDIGTSD)
id celda:1483
isla: ZACAPA","[(14.789444444444, -89.776388888889)]"
BANVI (ZCPAGTBA),"BANVI(ZCPAGTBA)
id celda:
isla: ZACAPA","[(14.969583333333, -89.527061111111)]"
CERRO CANCHACAN (PPOPGTCA),"CERRO CANCHACAN(PPOPGTCA)
id celda:1480
isla: POPTUN","[(16.240277777778, -89.430277777778)]"
CELDA AEROPUERTO POPTUN (PPOPGTAP),"CELDA AEROPUERTO POPTUN(PPOPGTAP)
id celda:1853
isla: POPTUN","[(16.330694444444, -89.405583333333)]"
CELDA MACHAQUILA (PPOPGTMA),"CELDA MACHAQUILA(PPOPGTMA)
id celda:1471
isla: POPTUN","[(16.393305555556, -89.445277777778)]"
CELDA SAN JOSE BUENA FE (PLIBGTSS),"CELDA SAN JOSE BUENA FE(PLIBGTSS)
id celda:1726
isla: SAYAXCHE","[(16.592958333333, -90.499861111111)]"
CHIQUIMULILLA (OCHIGTCH),"CHIQUIMULILLA(OCHIGTCH)
id celda:1219
isla: BARBERENA","[(14.086666666667, -90.37944444444402)]"
CUILAPA (OCUIGTCU),"CUILAPA(OCUIGTCU)
id celda:4518
isla: BARBERENA","[(14.273888888889, -90.305)]"
EL CERINAL (OBARGTCE),"EL CERINAL(OBARGTCE)
id celda:1220
isla: BARBERENA","[(14.3323, -90.39859999999999)]"
CELDA MONTECILLOS (OCUIGTMN),"CELDA MONTECILLOS(OCUIGTMN)
id celda:1231
isla: BARBERENA","[(14.296388888889, -90.331666666667)]"
CELDA SANTA CRUZ NARANJO (OSCNGTSC),"CELDA SANTA CRUZ NARANJO(OSCNGTSC)
id celda:
isla: BARBERENA","[(14.388888888889, -90.370277777778)]"
CELDA BARBERENA II (OBARGTB2),"CELDA BARBERENA II(OBARGTB2)
id celda:3553
isla: BARBERENA","[(14.3024, -90.3497)]"
CELDA CASILLAS (ONSRGTCA),"CELDA CASILLAS(ONSRGTCA)
id celda:1249
isla: BARBERENA","[(14.398888888889, -90.245280555556)]"
EL CARMEN FRONTERA (NMALGTCF),"EL CARMEN FRONTERA(NMALGTCF)
id celda:
isla: MALACATAN","[(14.9634, -92.143588888889)]"
CELDA CATARINA (NCATGTCT),"CELDA CATARINA(NCATGTCT)
id celda:2369
isla: MALACATAN","[(14.841916666667, -92.08263888888901)]"
CELDA CRUCE A MALACATAN Y EL CARMEN (NMALGTCA),"CELDA CRUCE A MALACATAN Y EL CARMEN(NMALGTCA)
id celda:2384
isla: MALACATAN","[(14.912777777778, -92.09755555555601)]"
SAN PABLO (NSPAGTSP),"SAN PABLO(NSPAGTSP)
id celda:4302
isla: MALACATAN","[(14.9346, -92.00350277777801)]"
CELDA SAN ANTONIO SOCORRO (NMALGTSA),"CELDA SAN ANTONIO SOCORRO(NMALGTSA)
id celda:4322
isla: MALACATAN","[(14.8793, -92.09709999999998)]"
CELDA LA UNION EL RODEO (NRODGTLU),"CELDA LA UNION EL RODEO(NRODGTLU)
id celda:4319
isla: MALACATAN","[(14.9026, -92.0057)]"
EL RANCHO (YGUAGTRA),"EL RANCHO(YGUAGTRA)
id celda:1407
isla: GUASTATOYA","[(14.9265, -90.01460277777801)]"
SANARATE (YSANGTSN),"SANARATE(YSANGTSN)
id celda:1404
isla: GUASTATOYA","[(14.798333333333, -90.204166666667)]"
CELDA PALO AMONTONADO (YGUAGTPA),"CELDA PALO AMONTONADO(YGUAGTPA)
id celda:3811
isla: GUASTATOYA","[(14.887277777778, -90.060194444444)]"
EL JICARO (YJICGTJI),"EL JICARO(YJICGTJI)
id celda:1491
isla: GUASTATOYA","[(14.9119, -89.8956)]"
CENTRO MEDICO_XT_SBA (GNCYGT84),"CENTRO MEDICO_XT_SBA(GNCYGT84)
id celda:6317
isla: TIVOLI","[(14.610619444444, -90.5095)]"
CELDA QUEZADA (JQUEGTQE),"CELDA QUEZADA(JQUEGTQE)
id celda:1217
isla: JUTIAPA","[(14.27, -90.0299)]"
SANTA CATARINA MITA (JSCMGTSC),"SANTA CATARINA MITA(JSCMGTSC)
id celda:1310
isla: JUTIAPA","[(14.4506, -89.7461)]"
